 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W)
1408,813,0.3,10,3,-0.20,66.5
1412,774,0.22,10,2.2,-0.18,82.5
1416,740,0.2,10,2,-0.16,81.6
1420,701,0.2,10,2,-0.15,77.1
1424,664,0.2,10,2,-0.14,68.0
1428,624,0.2,10,2,-0.12,59.0
1432,584,0.1,10,1,-0.10,99.8
1436,545,0.1,10,1,-0.09,86.2
1440,504,0.1,10,1,-0.07,72.6
1444,462,0.05,10,0.5,-0.06,127.0
1448,421,0.05,10,0.5,-0.05,108.9
1452,377,0.05,10,0.5,-0.05,90.7
1456,335,0.05,10,0.5,-0.03,63.5
1460,0,0,10,0,0.00,0.0
1464,0,0,10,0,0.00,0.0
1468,0,0,10,0,0.00,0.0
1472,0,0,10,0,0.00,0.0
1476,0,0,10,0,0.00,0.0
1480,0,0,10,0,0.00,0.0
1484,0,0,10,0,0.00,0.0
1488,0,0,10,0,0.00,0.0
1492,0,0,10,0,0.00,0.0
1496,0,0,10,0,0.00,0.0
1500,0,0,10,0,0.00,0.0
1504,0,0,10,0,0.00,0.0
1508,0,0,10,0,0.00,0.0
1512,0,0,10,0,0.00,0.0
1516,0,0,10,0,0.00,0.0
1520,0,0,10,0,0.00,0.0
1524,0,0,10,0,0.00,0.0
1528,0,0,10,0,0.00,0.0
1532,0,0,10,0,0.00,0.0
1536,0,0,10,0,0.00,0.0
1540,0,0,10,0,0.00,0.0
1544,332,0.05,10,0.5,0.04,81.6
1548,373,0.05,10,0.5,0.05,108.9
1552,417,0.05,10,0.5,0.07,136.1
1556,459,0.1,10,1,0.08,77.1
1560,500,0.1,10,1,0.09,90.7
1564,540,0.1,10,1,0.11,108.9
1568,582,0.1,10,1,0.13,127.0
1572,621,0.2,10,2,0.15,72.6
1576,657,0.2,10,2,0.16,81.6
1580,695,0.2,10,2,0.18,90.7
1584,733,0.2,10,2,0.20,102.1
1588,766,0.3,10,3,0.22,74.1
1592,805,0.3,10,3,0.24,81.6
1596,836,0.4,10,4,0.26,65.8
1600,873,0.4,10,4,0.29,72.6
1604,906,0.47,10,4.7,0.31,66.6
1608,938,0.5,10,5,0.34,67.1
1612,974,0.5,10,5,0.36,72.6
1616,1007,0.6,10,6,0.39,64.3
1620,1035,0.7,10,7,0.41,59.0
1624,1066,0.7,10,7,0.44,63.5
1628,1101,0.8,10,8,0.47,58.4
1632,1129,0.83,10,8.3,0.49,59.6
1636,1159,0.94,10,9.4,0.52,55.5
1640,1188,1,10,10,0.55,54.9
1644,1219,1.1,10,11,0.58,52.8
1648,1250,1.2,10,12,0.61,50.7
1652,1278,1.3,10,13,0.64,49.2
1656,1303,1.4,10,14,0.68,48.9
1660,1330,1.5,10,15,0.70,46.9
1664,1363,1.5,10,15,0.73,48.4
1668,1392,1.6,10,16,0.76,47.6
1672,1418,1.8,10,18,0.80,44.4
1676,1445,1.9,10,19,0.83,43.4
1680,1473,2,10,20,0.85,42.6
1684,1496,2.1,10,21,0.89,42.3
1688,1519,2.2,10,22,0.92,41.9
1692,1542,2.3,10,23,0.95,41.2
1696,1571,2.43,10,24.3,0.98,40.1
1700,1596,2.7,10,27,0.97,36.0
1704,1622,2.8,10,28,1.05,37.4
1708,1650,2.9,10,29,1.08,37.1
1712,1674,3.1,10,31,1.11,35.8
1716,1696,3.3,10,33,1.17,35.3
1720,1720,3.4,10,34,1.18,34.8
1724,1747,3.5,10,35,1.21,34.5
1728,1765,3.7,10,37,1.24,33.5
1732,1793,3.84,10,38.4,1.27,33.2
1736,1819,4,10,40,1.31,32.8
1740,1833,4.2,10,42,1.36,32.3
1744,1860,4.4,10,44,1.41,32.1
1748,1889,4.5,10,45,1.43,31.8
1752,1911,4.7,10,47,1.48,31.5
1756,1933,4.9,10,49,1.52,31.1
1760,1962,5.1,10,51,1.55,30.3
1764,1984,5.3,10,53,1.58,29.8
1768,2004,5.5,10,55,1.62,29.5
1772,2027,5.7,10,57,1.66,29.0
1776,2052,5.9,10,59,1.69,28.7
1780,2075,6.09,10,60.9,1.73,28.4
1784,2093,6.3,10,63,1.77,28.2
1788,2118,6.5,10,65,1.80,27.7
1792,2140,6.73,10,67.3,1.85,27.4
1796,2160,6.9,10,69,1.88,27.2
1800,2179,7.13,10,71.3,1.91,26.8
1804,2200,7.4,10,74,1.99,26.9
1808,2225,7.6,10,76,2.00,26.3
1812,2245,7.9,10,79,2.06,26.1
1816,2273,8.1,10,81,2.09,25.8
1820,2293,8.33,10,83.3,2.12,25.5
1824,2307,8.64,10,86.4,2.17,25.1
1828,2333,8.89,10,88.9,2.21,24.9
1832,2353,9.14,10,91.4,2.27,24.9
1836,2378,9.4,10,94,2.30,24.5
1840,2398,9.7,10,97,2.36,24.4
1844,2410,10,10,100,2.41,24.1
1848,2436,10.2,10,102,2.45,24.1
1852,2453,10.5,10,105,2.48,23.6
1856,2481,10.79,10,107.9,2.55,23.7
1860,2499,11.04,10,110.4,2.58,23.4
1864,2522,11.35,10,113.5,2.62,23.1
1868,2543,11.6,10,116,2.65,22.8
1872,2558,11.9,10,119,2.69,22.6
1876,2575,12.28,10,122.8,2.74,22.3
1880,2602,12.44,10,124.4,2.77,22.3
1884,2613,12.8,10,128,2.82,22.0
1888,2633,13.13,10,131.3,2.88,21.9
1892,2657,13.4,10,134,2.89,21.6
1896,2665,13.62,10,136.2,2.92,21.4
1900,2668,13.6,10,136,2.93,21.5
