 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W)
1100,2662,13.62,10,136.2,-2.31,17.0
1104,2667,13.63,10,136.3,-2.30,16.9
1108,2661,13.45,10,134.5,-2.30,17.1
1112,2627,13.2,10,132,-2.28,17.3
1116,2617,12.81,10,128.1,-2.22,17.4
1120,2600,12.5,10,125,-2.18,17.5
1124,2590,12.14,10,121.4,-2.16,17.8
1128,2562,11.96,10,119.6,-2.13,17.8
1132,2535,11.63,10,116.3,-2.11,18.1
1136,2528,11.32,10,113.2,-2.05,18.2
1140,2514,11,10,110,-2.04,18.6
1144,2484,10.8,10,108,-1.99,18.4
1148,2472,10.45,10,104.5,-1.95,18.7
1152,2449,10.2,10,102,-1.93,18.9
1156,2436,9.9,10,99,-1.89,19.1
1160,2416,9.56,10,95.6,-1.84,19.2
1164,2395,9.29,10,92.9,-1.81,19.5
1168,2371,9.1,10,91,-1.79,19.7
1172,2344,8.8,10,88,-1.76,19.9
1176,2332,8.5,10,85,-1.71,20.2
1180,2306,8.3,10,83,-1.68,20.3
1184,2283,8.05,10,80.5,-1.65,20.5
1188,2271,7.71,10,77.1,-1.62,21.0
1192,2241,7.57,10,75.7,-1.59,21.0
1196,2219,7.3,10,73,-1.56,21.3
1200,2198,7.1,10,71,-1.54,21.7
1204,2177,6.82,10,68.2,-1.50,22.0
1208,2157,6.6,10,66,-1.47,22.3
1212,2129,6.48,10,64.8,-1.44,22.3
1216,2106,6.2,10,62,-1.41,22.8
1220,2094,6,10,60,-1.36,22.7
1224,2073,5.8,10,58,-1.33,22.9
1228,2046,5.6,10,56,-1.32,23.6
1232,2024,5.4,10,54,-1.29,23.9
1236,2005,5.2,10,52,-1.26,24.2
1240,1982,5,10,50,-1.22,24.4
1244,1957,4.84,10,48.4,-1.19,24.6
1248,1936,4.64,10,46.4,-1.17,25.1
1252,1907,4.5,10,45,-1.14,25.3
1256,1885,4.3,10,43,-1.10,25.5
1260,1864,4.1,10,41,-1.08,26.2
1264,1834,3.9,10,39,-1.06,27.1
1268,1816,3.73,10,37.3,-1.02,27.2
1272,1789,3.6,10,36,-0.99,27.5
1276,1762,3.5,10,35,-0.97,27.7
1280,1745,3.3,10,33,-0.93,28.2
1284,1717,3.2,10,32,-0.91,28.3
1288,1697,3,10,30,-0.88,29.3
1292,1671,2.9,10,29,-0.85,29.4
1296,1643,2.8,10,28,-0.83,29.5
1300,1615,2.6,10,26,-0.80,30.7
1304,1591,2.4,10,24,-0.78,32.5
1308,1562,2.3,10,23,-0.75,32.7
1312,1539,2.1,10,21,-0.72,34.3
1316,1516,2,10,20,-0.70,34.9
1320,1488,1.9,10,19,-0.67,35.3
1324,1461,1.8,10,18,-0.65,36.3
1328,1440,1.7,10,17,-0.63,37.1
1332,1411,1.6,10,16,-0.61,38.3
1336,1382,1.5,10,15,-0.58,38.7
1340,1347,1.4,10,14,-0.55,39.5
1344,1320,1.3,10,13,-0.53,40.8
1348,1294,1.2,10,12,-0.51,42.7
1352,1265,1.2,10,12,-0.49,40.4
1356,1239,1.1,10,11,-0.47,42.5
1360,1200,1,10,10,-0.44,44.5
1364,1174,0.9,10,9,-0.42,46.9
1368,1142,0.8,10,8,-0.40,49.9
1372,1114,0.8,10,8,-0.38,47.6
1376,1080,0.7,10,7,-0.35,50.5
1380,1048,0.7,10,7,-0.34,48.0
1384,1016,0.6,10,6,-0.31,52.2
1388,986,0.5,10,5,-0.29,59.0
1392,948,0.5,10,5,-0.28,55.3
1396,916,0.4,10,4,-0.25,62.4
1400,883,0.4,10,4,-0.24,59.0
1404,845,0.4,10,4,-0.21,53.3
